                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7849,                 3.4164,                 1.9275,                0.50041,                0.07528,                0.07184,                0.03787,                 2.0423,                 4.1765,                 2.2566,              0.0003636,              0.0003636,              0.0003636
                      2,                 1.3315,                 2.5923,                 1.5904,                0.17327,                0.20455,                0.17719,                0.09645,                 1.5694,                 2.9981,                 1.9218,             0.00070971,             0.00070971,             0.00070971
                      3,                 1.2724,                 2.3225,                 1.5261,                0.33344,                0.32807,                0.23657,                0.13468,                 1.6277,                  2.706,                 2.0169,              0.0010314,              0.0010314,              0.0010314
                      4,                 1.2451,                 2.2161,                 1.5235,                0.47619,                0.23914,                0.25333,                0.13173,                 1.7289,                 2.6623,                 2.0253,               0.001001,               0.001001,               0.001001
                      5,                 1.2428,                 2.1065,                 1.5166,                0.30242,                0.41837,                 0.2678,                0.15129,                 1.6208,                 3.0722,                 1.9572,               0.001001,               0.001001,               0.001001
                      6,                 1.2131,                 1.9736,                 1.5033,                0.60878,                0.33145,                0.36802,                0.23129,                 1.4937,                 2.1824,                 1.7975,             0.00096435,             0.00096435,             0.00096435
                      7,                 1.1708,                 1.8315,                 1.4399,                0.49305,                0.36326,                0.35345,                0.20733,                 1.4196,                 2.4108,                 1.7825,             0.00092769,             0.00092769,             0.00092769
                      8,                 1.1203,                 1.7733,                 1.4302,                0.39851,                0.41611,                0.32831,                0.18759,                 1.4172,                 2.2604,                 1.7651,             0.00089102,             0.00089102,             0.00089102
                      9,                 1.1131,                 1.6913,                 1.4074,                0.52965,                0.44491,                0.45365,                0.27042,                 1.4671,                 2.1322,                 1.7916,             0.00085436,             0.00085436,             0.00085436
                     10,                 1.0938,                 1.6167,                 1.3906,                0.34034,                0.45925,                0.32448,                0.19498,                 1.3574,                 2.2403,                 1.6729,              0.0008177,              0.0008177,              0.0008177
                     11,                 1.0817,                 1.5418,                 1.3766,                0.47473,                0.45628,                0.46024,                0.30453,                 1.3244,                 1.9779,                 1.6971,             0.00078103,             0.00078103,             0.00078103
                     12,                 1.0419,                 1.4643,                 1.3518,                0.50399,                0.49891,                0.51328,                 0.3367,                 1.3689,                 1.9114,                  1.766,             0.00074437,             0.00074437,             0.00074437
                     13,                0.99351,                  1.372,                 1.3165,                0.49497,                0.56211,                0.50611,                0.31722,                 1.4011,                 1.7975,                 1.7312,             0.00070771,             0.00070771,             0.00070771
                     14,                0.99636,                 1.3786,                 1.3312,                0.50945,                0.57627,                0.51959,                0.35659,                 1.3145,                 1.7353,                 1.6818,             0.00067104,             0.00067104,             0.00067104
                     15,                0.96109,                 1.3073,                 1.2848,                0.52982,                0.54807,                0.52616,                0.36148,                 1.2936,                 1.7518,                 1.6194,             0.00063438,             0.00063438,             0.00063438
                     16,                0.97381,                  1.291,                 1.3006,                0.54715,                0.48874,                0.51691,                0.32826,                 1.3492,                 1.8353,                 1.7261,             0.00059772,             0.00059772,             0.00059772
                     17,                0.94718,                 1.2454,                 1.2911,                0.60389,                0.43668,                0.47726,                0.29466,                 1.4011,                 1.9296,                 1.8095,             0.00056105,             0.00056105,             0.00056105
                     18,                0.93288,                 1.2022,                 1.2822,                0.63876,                0.50978,                  0.557,                0.40181,                 1.2116,                 1.6549,                 1.5739,             0.00052439,             0.00052439,             0.00052439
                     19,                0.91371,                 1.1451,                 1.2721,                0.56157,                0.55143,                0.55006,                0.38598,                 1.2678,                 1.7221,                 1.6316,             0.00048773,             0.00048773,             0.00048773
                     20,                0.89132,                 1.0855,                 1.2517,                0.55984,                0.56148,                0.55124,                0.36892,                 1.2519,                 1.6457,                 1.5843,             0.00045107,             0.00045107,             0.00045107
                     21,                0.85808,                 1.0177,                 1.2428,                0.63517,                 0.5464,                0.57478,                0.40992,                  1.223,                 1.5787,                 1.6254,              0.0004144,              0.0004144,              0.0004144
                     22,                0.83522,                0.96038,                 1.2209,                0.58138,                0.53542,                0.54489,                0.39875,                 1.2321,                 1.7227,                 1.6101,             0.00037774,             0.00037774,             0.00037774
                     23,                0.79425,                 0.9135,                 1.1992,                0.62296,                0.56905,                0.60647,                0.41889,                 1.1999,                 1.5841,                 1.5629,             0.00034108,             0.00034108,             0.00034108
                     24,                0.77243,                0.83996,                 1.1807,                0.58237,                0.55585,                0.52103,                0.36856,                 1.1716,                 1.7577,                  1.544,             0.00030441,             0.00030441,             0.00030441
                     25,                0.73916,                0.77189,                 1.1545,                0.65152,                0.58378,                 0.6021,                0.41923,                 1.1783,                 1.5632,                  1.561,             0.00026775,             0.00026775,             0.00026775
                     26,                0.73931,                0.75208,                 1.1407,                0.57847,                0.58971,                0.55662,                0.40742,                 1.1843,                 1.6459,                 1.5501,             0.00023109,             0.00023109,             0.00023109
